time,open,high,low,close,EMA,Volume,K,D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-08-31T19:00:00-05:00,108247.95,108350.04,108107.05,108108.8,NaN,19.86791604,11.40849357,5.801585981,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:05:00-05:00,108107.96,108165.47,107985.38,107986.13,NaN,58.44991986,12.11716044,9.840639461,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:10:00-05:00,107986.13,108068.85,107965.85,107966.13,NaN,15.34065871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:15:00-05:00,107966.99,108086.15,107918.14,107950.2,NaN,24.30306593,6.265298857,9.930317623,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:20:00-05:00,107950.2,107976.35,107725,107764.98,NaN,32.83132358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:25:00-05:00,107767.63,107874.73,107629.86,107819.23,NaN,41.65552516,0.853069659,6.411842986,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:30:00-05:00,107819.23,107918.68,107681.9,107778.72,NaN,17.42742327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:35:00-05:00,107778.72,107840.44,107665.43,107781.03,NaN,10.20445996,0.144402788,2.420923768,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:40:00-05:00,107781.03,108227.53,107765.54,108176.84,NaN,51.597824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:45:00-05:00,108176.83,108411.63,108139.74,108161.05,NaN,12.99947333,25.00994889,8.669140446,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:50:00-05:00,108168.97,108393.74,108076.95,108324.86,NaN,20.74514012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T19:55:00-05:00,108324.86,108393.08,108215.41,108218.5,NaN,10.44178857,53.07915118,26.07783429,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:00:00-05:00,108218.51,108358.75,108151.31,108272.65,NaN,15.65656533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:05:00-05:00,108272.92,108340.4,108026.17,108039.17,NaN,12.31610289,74.91019452,50.99976486,NaN,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:10:00-05:00,108041.35,108158.15,107969.28,108142.11,108032.6933,18.41577505,NaN,NaN,51.10062581,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:15:00-05:00,108142.1,108288.87,108009.6,108201.56,108053.8017,12.10915106,83.23357896,70.40764156,53.08552503,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:20:00-05:00,108201.56,108264.76,108136.77,108144.91,108065.1902,19.16843006,NaN,NaN,50.96267125,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:25:00-05:00,108144.91,108313.61,108125.77,108238.44,108086.8464,11.357522,88.49771,82.21382783,54.21785707,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:30:00-05:00,108240.83,108308.39,108046.69,108123.17,108091.3869,21.479032,NaN,NaN,49.82779471,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:35:00-05:00,108123.17,108245.27,108043.49,108195.5,108104.401,23.80509783,98.21463718,89.98197538,52.43060676,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:40:00-05:00,108195.48,108307.77,108129.6,108295.52,108128.2909,15.99465786,NaN,NaN,55.84207508,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:45:00-05:00,108295.52,108482.14,108199.98,108211.26,108138.662,26.05512058,97.3353211,94.68255609,52.43077963,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:50:00-05:00,108209.33,108210.22,107970.33,108021.89,108124.0655,24.86000952,NaN,NaN,45.67723194,NaN,NaN,NaN,NaN,NaN
2025-08-31T20:55:00-05:00,108021.89,108196.53,108011.31,108140.78,108126.1548,23.75586387,93.298976,96.28297809,50.02915474,NaN,NaN,NaN,NaN,NaN
2025-08-31T21:00:00-05:00,108144.35,108198.78,108045.27,108095.88,108122.3705,22.1178936,NaN,NaN,48.45051375,NaN,NaN,NaN,NaN,NaN
2025-08-31T21:05:00-05:00,108107.11,108200,108081.63,108129.6,108123.2742,18.35881232,90.53903916,93.72444542,49.73333513,NaN,NaN,NaN,NaN,NaN
2025-08-31T21:10:00-05:00,108125.76,108125.76,107910.49,107970.52,108104.1799,25.45478007,NaN,NaN,44.15123749,NaN,NaN,NaN,NaN,NaN
